ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7,smell,move,turn
72,64,51,100,100,56,65,100,23.831608182581874,6.66198911618283,3.9719346970969767
70,59,49,100,100,59,73,100,20.3978707618636,6.566607521162878,3.399645126977269
67,55,47,100,100,62,82,100,17.473929337739605,6.485386926048323,2.912321556289932
65,51,44,100,100,66,91,100,14.982274935399857,6.416174303761107,2.4970458225666405
62,46,46,100,100,70,100,41,12.857553027009317,6.357154250750259,2.142925504501555
59,42,50,100,100,74,100,37,11.044557382423648,6.306793260622879,1.8407595637372722
53,38,54,100,100,79,100,33,9.496587345194655,6.263794092922074,1.5827645575324425
46,33,56,100,100,83,100,30,8.174091968600692,6.227058110238908,1.362348661433451
39,28,51,100,100,88,100,26,7.043543976940555,6.195653999359459,1.1739239961567591
32,24,45,100,100,93,30,22,6.076500117736543,6.168791669937127,1.0127500196227572
26,19,38,100,100,99,25,19,5.2488141664634895,2.267314668415613,0.003888010493676486
24,17,35,100,100,100,24,18,5.309600722203356,2.8039330375720026,3.2235982254320152
20,16,36,100,100,100,21,17,2.112076764812514,3.6697956692812035,4.018774015687221
16,14,36,100,100,100,18,16,-1.9431309560127374,3.06957579776315,16.83523256435668
10,13,58,100,100,34,15,19,-19.137352417188083,4.566752142640302,34.3782906336196
7,30,100,100,100,18,18,7,-54.729702874901136,8.889219779523668,11.193096454919779
3,42,100,100,42,20,10,1,-68.02351634632475,6.0,80.0
100,100,100,27,24,4,5,25,-149.2014466877198,2.855515369785561,-14.866907781286635
100,100,100,35,27,7,4,13,-134.86006302516716,3.251813997821907,39.51088398693145
100,100,42,28,11,6,14,43,-174.47701529291714,0.6867495751967461,2.2538307845138092
100,100,40,29,11,6,15,100,-176.7308460774309,0.42414316451580847,3.878192320428184
100,100,37,29,10,6,17,100,179.3909616021408,9.916415600059468,67.23182693369014
100,25,29,14,18,49,100,100,115.09821180293727,9.197172550081591,19.183035300489543
25,17,28,20,36,100,100,97,99.04933588998938,4.950274088277719,-28.698355470333688
100,18,17,26,26,61,100,100,128.83802808364624,5.063844548457949,-41.40359937591897
94,98,19,20,30,32,58,100,170.52534507566065,9.270148474323907,-12.912442487389894
97,83,100,23,44,36,60,100,-176.733876474525,1.0907256534854168,-29.4556460790875
100,84,92,24,27,38,42,77,-147.44937346317283,1.904184070467421,-24.574895577195463
100,100,80,100,24,41,36,59,-123.13958341040882,2.5794560163775326,-20.523263901734808
75,100,85,92,27,30,37,41,-103.23087902240815,3.1324755827108848,-17.205146503734696
54,100,100,84,100,29,43,34,-86.96908381904962,3.5841921161375105,-14.494847303174936
45,100,100,85,100,30,43,32,-73.38035470477433,3.9616568137562687,-12.230059117462389
34,56,100,91,100,33,37,30,-61.989206410663996,4.278077599703778,-10.331534401777333
27,44,100,100,96,38,35,29,-52.673180914116074,4.536856085718998,-8.778863485686017
21,43,100,100,96,100,34,28,-44.806753148062285,6.355367968109381,-15.467792191343712
15,22,38,100,100,100,33,29,-30.33599124238367,8.385777858866817,-21.685332846799092
10,9,28,100,100,100,34,31,-9.078752915094583,9.87670829374563,-49.406416904192895
21,9,6,20,100,100,100,26,42.49100511856125,8.621113067229953,-27.56221048550918
13,16,8,11,60,100,100,34,72.89365791479509,7.651978076742502,-81.55479820621167
100,27,14,20,15,22,58,100,155.54272907863083,9.853964696628633,-5.4095451535615275
94,100,16,20,24,30,58,100,161.9622826186793,9.632285628296646,-8.33961956355345
90,94,20,21,35,37,57,100,170.79685229598863,11.07769034155524,25.132808715998106
73,100,17,32,43,100,100,97,147.58914577907274,9.033031827196465,-12.735142370154545
65,83,100,26,53,68,100,100,161.22301504280892,10.47841708452247,26.870502507134823
58,100,23,48,66,100,100,61,136.3982280336587,9.922173000934965,21.399704672276453
66,100,18,68,94,100,78,48,117.28695979441358,7.991304438733711,-19.785506700931073
45,100,100,30,81,100,100,46,138.3766964496303,9.84379712360084,23.062782741605048
52,100,35,81,100,100,54,35,117.49819633560867,9.26383878710024,19.583032722601445
82,100,29,91,100,100,35,33,100.2926852638056,8.7859079239946,16.7154475439676
100,100,27,100,100,58,30,38,85.70480348542242,8.380688985706179,14.28413391423707
100,100,26,100,100,42,30,52,73.47318866162072,8.040921907267244,12.245531443603454
100,100,25,100,100,38,34,80,63.15970226930426,7.75443617414734,10.526617044884041
100,100,24,100,88,38,42,100,54.19718799703162,7.572144111028656,8.366197999505271
100,100,22,100,75,40,52,100,47.27673827057458,7.513242729738183,5.879456378429097
99,100,19,100,71,45,63,100,42.76585131540594,5.721273647650165,-34.20569144743234
100,100,100,24,100,59,46,81,78.41974527784566,8.178326257717934,13.069957546307613
100,100,51,33,100,54,52,100,67.54816339155764,7.876337871987712,11.258027231926274
92,100,42,100,100,53,63,100,58.08653173811905,7.613514770503307,9.681088623019843
68,100,39,100,90,57,79,100,50.06115306227639,7.390587585063233,8.343525510379397
73,100,39,100,84,62,100,100,43.23409078708414,7.200946966307892,7.205681797847355
100,100,39,100,82,69,100,100,37.41288913665625,7.0392469204626735,6.235481522776041
100,100,40,100,84,78,100,100,32.44001010259939,6.901111391738872,5.406668350433229
100,100,40,100,86,88,100,55,28.015231674565484,6.778200879849042,4.66920527909425
100,100,40,100,89,98,100,39,24.23271291423532,6.6731309142843145,4.038785485705887
97,100,41,100,94,100,100,39,20.995612552013256,6.583211459778146,3.499268758668876
100,100,41,100,98,100,100,100,18.22257123086257,6.506182534190627,3.037095205143764
100,100,41,100,100,100,100,100,15.845009280499141,6.440139146680531,2.6408348800831902
100,100,42,100,100,100,30,100,13.804972324026096,6.3834714534451695,2.3008287206710136
100,100,42,61,100,100,29,100,12.053391087140653,6.3348164190872405,2.0088985145234446
100,98,41,64,100,100,30,94,10.548661211221884,6.2930183669783855,1.7581102018703163
100,93,41,66,100,100,100,83,9.255475159178786,6.2570965321994105,1.5425791931964667
100,86,71,68,100,100,100,73,8.143856256473612,6.22621822934649,1.3573093760789376
100,80,70,69,100,100,100,64,7.188357538444734,6.199676598290131,1.1980595897407866
100,73,70,70,100,43,100,55,6.367397310363913,6.1768721475101085,1.0612328850606545
100,65,69,70,100,43,100,46,5.662710471781224,6.157297513105034,0.9437850786302064
100,56,69,70,100,44,100,38,5.058900689679376,6.14052501915776,0.8431501149465603
100,47,68,70,100,55,100,32,4.543084326016526,6.126196786833793,0.7571807210027544
100,45,67,70,100,67,100,35,4.104623742361298,6.114017326176702,0.6841039570602163
100,43,66,69,100,79,100,38,3.7349570067150353,6.103748805742084,0.6224928344525082
100,41,65,68,100,100,64,41,3.427546580593855,6.095209627238718,0.5712577634323068
100,40,63,67,100,100,34,44,3.177998790497668,6.088277744180491,0.529666465082947
100,100,62,69,100,100,21,47,2.984466625270727,6.349568517368631,3.164077770878457
100,100,62,73,100,100,24,100,-0.2057324178218778,6.060951877282726,0.6323779303630204
100,100,60,79,100,100,25,100,-0.9807342531017866,5.972757381858283,-0.16345570885030014
100,100,27,85,100,100,27,100,-0.9523276498360929,5.9735464541712195,-0.1587212749726845
100,100,26,90,100,100,28,96,-0.9507006446208379,5.973591648760532,-0.15845010743680632
100,100,24,96,100,33,30,90,-22.036650495378524,5.454537486239485,-4.339441749229756
100,100,26,100,100,37,30,89,-18.133001855121393,5.496305504024406,-3.0221669758535654
100,100,100,93,100,39,30,87,-15.493795482865607,5.569616792142622,-2.5822992471442703
100,100,100,86,100,42,31,84,-13.248154913841745,5.63199569683773,-2.208025818973624
100,100,100,36,100,44,31,80,-11.336290416548422,5.685103043984766,-1.8893817360914014
53,100,100,34,100,46,31,76,-9.707692506838669,5.730341874810037,-1.617948751139778
48,100,100,36,100,47,100,71,-8.319643026791312,5.768898804811353,-1.3866071711318853
43,100,100,44,100,49,100,66,-7.135980114916549,5.801778330141207,-1.1893300191527558
38,100,100,52,100,50,100,61,-6.126068731975749,5.829831424111784,-1.021011455329294
33,100,100,61,100,50,100,54,-5.263939294503302,5.853779464041575,-0.8773232157505504
28,100,100,100,100,51,100,48,-4.527564885452648,5.874234308737426,-0.754594147575439
23,100,100,100,100,51,100,41,-3.8982534060279477,6.69171518316589,-4.649708901004658
18,100,100,100,100,56,100,37,0.7826633476539087,7.069565419806126,-13.982607481163242
13,13,100,100,77,100,91,46,15.507536511769445,7.4804776900094705,-57.570467193276514
100,14,10,100,100,78,100,60,75.90381968633562,6.376709107625952,-34.27307868757763
80,55,15,14,100,100,100,59,112.51536953281874,8.458760264800521,-14.580771744530207
42,100,26,18,100,100,73,100,129.653793270658,9.601494257518278,21.60896554510967
100,56,22,24,100,100,100,24,111.40423922611484,9.294562200725412,16.56737320435247
100,34,21,32,100,88,100,32,98.33292480496868,8.998136800138019,13.72215413416145
100,24,19,43,100,100,23,49,87.72663241545916,7.103517567096088,-25.37889459742347
100,47,21,26,100,100,21,26,115.57523953337551,9.743756653704875,19.26253992222925
100,28,20,37,100,100,22,40,99.71639890128625,9.303233302813506,15.28606648354771
61,19,18,55,100,28,27,100,87.85241207643799,4.647134096437848,-43.33497319915069
100,60,20,20,63,100,26,26,132.31674503626834,10.008798473229676,18.719457506044726
100,32,18,28,100,39,23,100,116.94346511647768,8.115096253235492,-18.509422480587055
100,68,24,24,73,100,22,22,137.42838611826153,10.084121836618376,24.238064353043587
